Peter F Martin (born 1941) is an American politician who is a Democratic member of the Rhode Island House of Representatives .,"(Peter F. Martin, date of birth, 1941)"
Maria Pilar Romero (born 22 May 1982) is a team handball player from Argentina .,"(Pilar Romero, date of birth, 1982)"
Federico Falco is an Argentinian writer born in 1977 .,"(Federico Falco, date of birth, 1977)"
"Tan Jiexi (born December 2, 1988 in Shenzhen,China), is a Chinese singer-songwriter debuted in 2010 after wining the fourth place at the 2010 Happy Boy singing competition .","(Tan Jiexi, date of birth, 1988)"
David Carrier (born 1944) is an American philosopher and art and culture critic .,"(David Carrier, date of birth, 1944)"
"Michael Hintze (b. c 1953) is an Australian/British businessman, philanthropist and political patron, based in the United Kingdom .","(Michael Hintze, date of birth, 1953)"
"Sullivan was born in Chippewa Falls, Wisconsin in 1927 .","(Dennis B. Sullivan, date of birth, 1927)"
"Thomas Wilkinson Coppola (better known as Tom Coppola) (June 6, 1945) is a pianist and arranger, known for being a principal member of the group Air .","(Tom Coppola, date of birth, 1945)"
"Ismael Ahmed was born in Brooklyn, New York in 1947 .","(Ismael Ahmed, date of birth, 1947)"
"François Letellier (aka FLet), born 1968, is a French proponent of free/open source software as a major means of innovation in the software industry .","(François Letellier, date of birth, 1968)"
"Gregor Breinburg (born 16 September, 1991 in Arnhem) is a Dutch footballer who plays as a midfielder for De Graafschap .","(Gregor Breinburg, date of birth, 1991)"
"William Anderson (born c 1860, deceased) was a Scottish international footballer who played as a right winger .","(William Anderson, date of birth, 1860)"
"Cornelia Travnicek (born 1987 in St Pölten, Lower Austria) is an Austrian writer who has published several books and stories .","(Cornelia Travnicek, date of birth, 1987)"
"Steve Lindsey (born May, 6th 1956) is an American record producer, song writer music publisher and music industry executive .","(Steve Lindsey, date of birth, 1956)"
Neroutsos was born in Athens in 1826 to a wealthy family .,"(Tasos Neroutsos, date of birth, 1826)"
"Cartrain (born 1991?) , often stylised cartяain, is a British artist associated with the graffiti urban art movement .","(Cartrain, date of birth, 1991)"
