"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Jacob Henry Studer (26 February 1840 Columbus, Ohio - 2 August 1904 New York City) was a printer, lithographer, painter, and popular ornithologist active in Columbus, Ohio from the 1860s to the 1880s .","(Jacob Henry Studer, place of birth, Columbus)"
"Born in Glasgow, Stephen became a welder's apprentice on leaving school .","(John Stephen, place of birth, Glasgow)"
Georgina Willis is an award winning film director who was born in Australia and now lives in London .,"(Georgina Willis, place of birth, Australia)"
"Corrsin was born on 3 April 1920 in Philadelphia, Pennsylvania .","(Stanley Corrsin, place of birth, Philadelphia)"
Eduard Ender (3 March 1822 Rome -- 28 December 1883 London) was an Austrian painter .,"(Eduard Ender, place of birth, Rome)"
"Born in Glasgow, Fisher is a graduate of the London Opera Centre, the Royal Academy of Music, and the University of Glasgow .","(John Fisher, place of birth, Glasgow)"
"Iago Dekanozishvili (born in 1951 in Tbilisi) is a Georgian artist, a graduate of the Tbilisi State Academy of Fine Arts .","(Iago Dekanozishvili, place of birth, Tbilisi)"
"Lucy Toulmin Smith was born at Boston, Massachusetts, USA, on 21 November 1838, of English parents, Joshua Toulmin Smith and his wife Martha .","(Lucy Toulmin Smith, place of birth, Boston)"
Osborn was born at Rochester in 1808 .,"(George Osborn, place of birth, Rochester)"
"Born in Sheffield, Hofton began his career at Kiveton Park, before moving to Glossop via Worksop Town and Denaby United in April 1908 .","(Leslie Hofton, place of birth, Sheffield)"
"Chiyoki Ikeda (born 3-11-1920 Honolulu, Hawaii; died 3-17.1960) was listed in the CIA Memorial Wall on May 14, 1997 .","(Chiyoki Ikeda, place of birth, Honolulu)"
"Geoffrey Nutter is an American poet, born in Sacramento and based in New York .","(Geoffrey Nutter, place of birth, Sacramento)"
"Born in Copenhagen, Kleven played as a midfielder for AB from 1927 to 1944 .","(Eyolf Kleven, place of birth, Copenhagen)"
Marvano and Haldeman also worked together on a comic adaption of the novel Buying time called Dallas Barr .,"(Marvano, place of birth, Belgium)"
"Naïma Azough (born April 1, 1972 in Asdif, Morocco) is a Dutch politician for GreenLeft .","(Naïma Azough, place of birth, Morocco)"
"Eugenia Popa (born September 10, 1973 in Bucharest, Romania) is a retired Romanian artistic gymnast .","(Eugenia Popa, place of birth, Bucharest)"
