"After the war John Starr opened a night-club in Hanley, Staffordshire, in partnership with the brothers Alfred and Henry Newton, SOE agents whom he had met during his training and also at the Avenue Foch .","(John Renshaw Starr, place of death, Switzerland)"
Arroyo died at Madrid in 1551 .,"(Diego de Arroyo, place of death, Madrid)"
"Murakowski died in 1985 at age 60 at his home in Hammond, Indiana .","(Art Murakowski, place of death, Hammond)"
Belissen remained in Marseilles until his death .,"(Laurent Belissen, place of death, Marseille)"
Tournély died at Paris .,"(Honoré Tournély, place of death, Paris)"
"William J Bresnan died on November 27, 2009, at his home in Greenwich, Connecticut, from complications due to cancer at the age of 75 .","(William Bresnan, place of death, Greenwich)"
"Fred Rich died on September 8, 1956 in California aged 58 after a long illness .","(Fred Rich, place of death, California)"
"Varvara Massalitinova was designated People's Artist of Russia and was awarded for her performances on stage and in film (Stalin Prize, 1941) .","(Varvara Massalitinova, place of death, Moscow)"
Trevor Hall has argued that Gurney's death was suicide: Gordon Epperson argues against this hypothesis .,"(Edmund Gurney, place of death, Brighton)"
"Robert W Copeland died at Tacoma, Washington, on August 25, 1973 .","(Robert W. Copeland, place of death, Tacoma)"
"A year or two after Stothard died, Anna Eliza married Edward Atkyns Bray, the vicar of Tavistock .","(Anna Eliza Bray, place of death, London)"
Edmondson's career lasted for about fifteen years .,"(William Edmondson, place of death, Nashville)"
Ambassador Mark died in a car accident in 2005 at age 81 in Montana .,"(David E. Mark, place of death, Montana)"
"After the introduction of steel for engraving purposes about the year 1823, Cousins and his contemporaries were compelled to work on it, because the soft copper previously used for mezzotint plates did not yield a sufficient number of fine impressions to enable the method to compete commercially against line engraving, from which much larger editions were obtainable .","(Samuel Cousins, place of death, London)"
"On May 13, 1977, Spillane was killed outside his apartment in Queens .","(Mickey Spillane, place of death, Queens)"
"Uvedale Tomkins Price died at Bath in 1764 and was succeeded at Foxley by his grandson Uvedale Price, writer on the Picturesque .","(Uvedale Tomkins Price, place of death, Bath)"
"In 1920, Furse formed the Association of Wrens and this led to her becoming head of the Sea Rangers and for ten years, from 1928 to 1938, was director of the World Association of Girl Guides and Girl Scouts whose constitution she drafted .","(Katharine Furse, place of death, London)"
"Ogilvie was happier and made a much greater mark as principal of Jesus College, Oxford from 1944 until his death in 1949 .","(Frederick Ogilvie, place of death, Oxford)"
Orgeni became a voice teacher at the Dresden Royal Conservatory in 1886 .,"(Aglaja Orgeni, place of death, Vienna)"
"After the death of her father in 1741, Brita Sophia and her mother moved to Paris in France, where they converted to Catholicism .","(Brita Sophia De la Gardie, place of death, Paris)"
"Hersey was an unsuccessful candidate for Governor of Maine in 1870, losing by only 20 votes .","(Samuel F. Hersey, place of death, Bangor)"
Sandberg served as the director of the Academy from 1845 to 1853 .,"(Johan Gustaf Sandberg, place of death, Stockholm)"
"In 1848, Greenleaf retired from his active duties, and became professor emeritus .","(Simon Greenleaf, place of death, Cambridge)"
"Marta Canales Pizarro (17 July 1893 -- 6 December 1986) was a Chilean violinist, choral conductor and composer .","(Marta Canales, place of death, Santiago)"
"Le Fevre was elected as a Republican to the Seventy-eighth and to the three succeeding Congresses, holding office from January 3, 1943 to January 3, 1951; he was not a candidate for renomination in 1950 and resumed his merchandising interests .","(Jay Le Fevre, place of death, Kingston)"
"A new Byzantine invasion of Thessaly occurred in 1277, but was repelled at Pharsalos by John .","(John I Doukas of Thessaly, place of death, Constantinople)"
"Falconer married Frances, daughter of Lieutenant-colonel Robert Raitt, by whom he had issue, besides one son and three daughters who died in his lifetime, four sons who survived him, viz .","(Thomas Falconer, place of death, Bath)"
"Tobias Andreae, who was born at Frankfort in 1823, studied under J Becker, and then went to Munich, where he made the acquaintance of Rahl and Genelli .","(Tobias Andreae, place of death, Munich)"
Adele Marcus died on 3 May 1995 at her home in Manhattan .,"(Adele Marcus, place of death, Manhattan)"
Andy Schuttinger began winding down his racing operations in 1952 and retired from the business .,"(Andy Schuttinger, place of death, Florida)"
"Sanders died of a heart attack on August 18, 1997 at his home in Potomac .","(Frank P. Sanders, place of death, Potomac)"
"In August 1993, Amon Bazira was assassinated in Kenya at Nakuru, allegedly with the complicity of Tiny Rowland, Yoweri Museveni and Daniel arap Moi .","(Amon Bazira, place of death, Kenya)"
Meadmore died at the age of 76 in Manhattan from complications of Parkinson's disease .,"(Clement Meadmore, place of death, Manhattan)"
Allen died of a heart attack in Montreal in 1935 and was buried in the Beechwood Cemetery .,"(John J. Allen, place of death, Montreal)"
"Johnston's later years were passed mainly at his residence (much later known as Orleans House) Twickenham, and he died at Bath in May 1737, see the separate article .","(Archibald Johnston, place of death, Bath)"
"She died in Boston on February 16, 1994 of smoke inhalation from a fire at the Ann Wigmore Foundation .","(Ann Wigmore, place of death, Boston)"
"Crisp died at her home in Phoenix, Arizona .","(Mary D. Crisp, place of death, Phoenix)"
"For many years he had a sports shop in Sunderland trading as Willie Watson Sports, and he died in Sunderland in 2009 .","(Albert Watson, place of death, Sunderland)"
"Masquerier still painted occasionally after his retirement; in 1831 he exhibited ''A Marriage in the Church of St Germain l'Auxerrois, Paris,`` and in 1838 ''Buonaparte and Marie Louise viewing the Tomb of Charles the Bold at Bruges .","(John James Masquerier, place of death, Brighton)"
"Lewin died on December 18, 2010, at the age of 84 in Hawaii .","(Donn Lewin, place of death, Hawaii)"
"Captain Bonser died just over a year later, on December 26, 1913 at Providence St Vincent Medical Center in Portland .","(John Bonser, place of death, Portland)"
Hi Jolly became a living legend until his death in Arizona .,"(Hi Jolly, place of death, Arizona)"
"A native of Copenhagen, Rasch emigrated to Canada where he died in Vancouver in 1988 .","(Bent Peder Rasch, place of death, Vancouver)"
"Givens died on December 8, 2009 at his home in Louisville, Kentucky .","(John Givens, place of death, Louisville)"
"Aubrey Hornsby died in 1981 in Montgomery, Alabama .","(Aubrey Hornsby, place of death, Montgomery)"
"On starting his managerial career, Siddons aimed at producing plays with greater efficiency in all directions than before, at the Edinburgh Theatre; he was encouraged and supported by Scott .","(Henry Siddons, place of death, Edinburgh)"
"Phillips died at Philadelphia, Pennsylvania, on January 29, 1803 .","(Jonas Phillips, place of death, Philadelphia)"
"Bardsley was born at Nottingham on 7 July, 1801 .","(James Lomax Bardsley, place of death, Manchester)"
"This settlement, that was successfully established by some of the ``old planters'', became Salem, Massachusetts and, in Conant's words, laid the ``foundation'' for the Commonwealth .","(Roger Conant, place of death, Beverly)"
"Mira Ashby, CM was the founder of Ashby House, opened in 1978 .","(Mira Ashby, place of death, Toronto)"
Following her retirement Brema became director of the opera class at the Royal Manchester College of Music .,"(Marie Brema, place of death, Manchester)"
"General Stack died at Calais, France, in December 1833 .","(Edward Stack, place of death, Calais)"
"Chais died on September 26, 2010 at age 84 in Manhattan, where he and his wife had moved to further the treatment of a blood disorder that eventually took his life .","(Stanley Chais, place of death, Manhattan)"
